Dataset,Prediction Length,MAE,RMSE
electricity,96,0.054440103471279144,0.08001416176557541
electricity,192,0.05854480713605881,0.08266108483076096
electricity,336,0.056093424558639526,0.08194025605916977
electricity,720,0.05881958827376366,0.08473342657089233
exchange_rate,96,0.04436847195029259,0.05984407663345337
exchange_rate,192,0.05468801409006119,0.0730132907629013
exchange_rate,336,0.07954172044992447,0.10530564934015274
exchange_rate,720,0.18508149683475494,0.22498388588428497
traffic,96,0.04070387780666351,0.07861966639757156
traffic,192,0.03769480437040329,0.07534395158290863
traffic,336,0.03905446082353592,0.07582193613052368
traffic,720,0.053482145,0.09075792
weather,96,0.08922670781612396,0.12000058591365814
weather,192,0.10800435394048691,0.14445631206035614
weather,336,0.14320752024650574,0.18360713124275208
weather,720,0.20057618618011475,0.24503079056739807
ETTh1,96,0.0768076628446579,0.10407065600156784
ETTh1,192,0.09682638198137283,0.1250459849834442
ETTh1,336,0.10961561650037766,0.1396712362766266
ETTh1,720,0.12047971040010452,0.15515021979808807
ETTm1,96,0.07309248298406601,0.09690574556589127
ETTm1,192,0.08356183022260666,0.10737635940313339
ETTm1,336,0.08772832900285721,0.11135248839855194
ETTm1,720,0.0959218293428421,0.12172041833400726
